id,familyId,barcode,barcodeType,barcodeSource,barcodeStatus,confidence,name,brand,category,unit,packSize,price,stock,isBulk
1,FAM-0001,745114646224,UPC_A,Manufacturer,VERIFIED,High,Sonia tomato mix 400g,Sonia,Pantry,Piece,1,850.00,150,false
2,FAM-0002,10745114646221,ITF14,Manufacturer,VERIFIED,High,Sonia Tomato Seasoning Mix (Carton),Sonia,Pantry,Carton,24,17800.00,25,true
3,FAM-0003,PRD-000002,CODE128,Internal,INTERNAL,Low,Gino Curry Powder (Sachet),Gino,Spices,Piece,1,550.00,200,false
4,FAM-0004,CTN-000002,CODE128,Internal,INTERNAL,Low,Gino Curry Powder (Carton),Gino,Spices,Carton,24,10800.00,30,true
5,FAM-0005,PRD-000003,CODE128,Internal,INTERNAL,Low,Gino Red Pepper Powder (Sachet),Gino,Spices,Piece,1,800.00,180,false
6,FAM-0006,CTN-000003,CODE128,Internal,INTERNAL,Low,Gino Red Pepper Powder (Carton),Gino,Spices,Carton,24,17800.00,20,true
7,FAM-0007,PRD-000004,CODE128,Internal,INTERNAL,Low,Gino Thyme Sachet (Roll),Gino,Spices,Piece,1,550.00,200,false
8,FAM-0007,CTN-000004,CODE128,Internal,INTERNAL,Low,Gino Thyme Sachet (Carton),Gino,Spices,Carton,50,10800.00,30,true
9,FAM-0008,786411642120,UPC_A,Manufacturer,VERIFIED,High,Ric-Giko Tomato Paste 70g (Roll),Generic,Pantry,Piece,1,800.00,150,false
10,FAM-0009,CTN-000005,CODE128,Internal,INTERNAL,Low,Ric-Giko Tomato Paste (Carton),Generic,Pantry,Carton,24,17500.00,25,true
11,FAM-0010,PRD-000006,CODE128,Internal,INTERNAL,Low,Devon King's Vegetable Oil Sachet,Devon King's,Pantry,Piece,1,1200.00,150,false
12,FAM-0011,CTN-000006,CODE128,Internal,INTERNAL,Low,Devon King's Vegetable Oil (Carton),Devon King's,Pantry,Carton,24,22500.00,20,true
13,FAM-0012,PRD-000007,CODE128,Internal,INTERNAL,Low,Costa Non-Dairy Creamer 400g,Costa,Dairy,Piece,1,2800.00,80,false
14,FAM-0013,0800800209869,EAN13,Open Food Facts,VERIFIED,High,Dano Cool Cow Milk Powder 350g,Dano,Dairy,Piece,1,2950.00,120,false
15,FAM-0014,CTN-000007,CODE128,Internal,INTERNAL,Low,Dano Cool Cow Milk Powder 350g (Carton),Dano,Dairy,Carton,24,65000.00,15,true
16,FAM-0015,PRD-000008,CODE128,Internal,INTERNAL,Low,Cowbell Milk Powder 350g Refill,Cowbell,Dairy,Piece,1,2800.00,140,false
17,FAM-0016,CTN-000008,CODE128,Internal,INTERNAL,Low,Cowbell Milk Powder 350g (Carton),Cowbell,Dairy,Carton,24,64500.00,15,true
18,FAM-0017,PRD-000009,CODE128,Internal,INTERNAL,Low,Three Crowns Milk Powder 350g Refill,Three Crowns,Dairy,Piece,1,3000.00,130,false
19,FAM-0018,CTN-000009,CODE128,Internal,INTERNAL,Low,Three Crowns Milk Powder 350g (Carton),Three Crowns,Dairy,Carton,24,68000.00,15,true
20,FAM-0019,8710100103410,EAN13,Open Food Facts,VERIFIED,High,Quaker Oats 500g Tin,Quaker,Breakfast,Piece,1,3500.00,90,false
21,FAM-0020,PRD-000010,CODE128,Internal,INTERNAL,Low,Golden Morn 950g Bag,Golden Morn,Breakfast,Piece,1,5500.00,100,false
22,FAM-0021,CTN-000010,CODE128,Internal,INTERNAL,Low,Golden Morn 950g (Carton),Golden Morn,Breakfast,Carton,24,32000.00,12,true
23,FAM-0022,PRD-000011,CODE128,Internal,INTERNAL,Low,KissKids Baby Diapers Size 2 (Roll),KissKids,Baby,Piece,1,1800.00,100,false
